Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2016-08-13 13:27:49,Cycling,,14.65,1:03:50,4:22,13.77,350.0,54.91,,,2016-08-13-1327.gpx
2016-08-11 21:39:11,Running,,6.04,41:30,6:52,8.74,403.0,22.86,,,2016-08-11-2139.gpx
2016-08-04 22:23:35,Running,,6.76,47:24,7:01,8.55,445.0,29.91,,,2016-08-04-2223.gpx
2016-07-28 22:35:34,Running,,8.24,1:00:09,7:18,8.22,529.0,26.23,,,2016-07-28-2235.gpx
2016-07-26 22:01:14,Running,,5.83,46:09,7:55,7.58,382.0,18.62,,,2016-07-26-2201.gpx
2016-07-18 23:35:11,Running,,3.74,31:30,8:26,7.12,247.0,8.61,,,2016-07-18-2335.gpx
2016-07-17 21:57:43,Running,,5.01,34:28,6:53,8.72,327.0,11.18,,,2016-07-17-2157.gpx
2016-07-16 19:25:16,Cycling,,12.86,1:00:29,4:42,12.76,312.0,41.81,,,2016-07-16-1925.gpx
2016-07-13 23:49:56,Running,,5.95,40:49,6:52,8.74,384.0,12.00,,,2016-07-13-2349.gpx
2016-07-04 23:02:10,Running,,7.01,45:54,6:33,9.16,462.0,14.55,,,2016-07-04-2302.gpx
2016-07-02 00:54:41,Running,,9.05,1:08:35,7:35,7.92,579.0,20.73,,,2016-07-02-0054.gpx
2016-06-28 23:27:52,Running,,6.59,45:24,6:53,8.71,424.0,13.27,,,2016-06-28-2327.gpx
2016-06-23 23:23:11,Running,,7.05,51:30,7:18,8.22,449.0,14.82,,,2016-06-23-2323.gpx
2016-06-21 23:26:59,Running,,5.58,41:19,7:24,8.11,365.0,11.82,,,2016-06-21-2326.gpx
2016-06-16 23:33:49,Running,,5.78,41:23,7:09,8.38,343.0,18.73,,,2016-06-16-2333.gpx
2016-06-12 08:15:17,Cycling,,5.00,20:00,4:00,15.00,79.0,,,,
2016-06-12 07:55:26,Elliptical,,3.00,20:30,6:50,8.78,188.0,,,,
2016-06-12 07:30:48,Running,,2.00,15:00,7:30,8.00,117.0,,,,
2016-06-07 07:00:35,Hiking,,30.00,11:30:00,23:00,2.61,1789.0,,,,
2016-05-30 05:34:04,Running,,1.47,10:06,6:53,8.72,86.0,3.91,,,2016-05-30-0534.gpx
2016-05-26 06:46:00,Running,,5.90,41:31,7:02,8.53,358.0,31.36,,,2016-05-26-0646.gpx
2016-05-22 06:42:11,Running,,4.35,30:13,6:57,8.64,252.0,13.91,,,2016-05-22-0642.gpx
2016-05-16 22:47:05,Running,,7.25,49:09,6:47,8.85,438.0,23.88,,,2016-05-16-2247.gpx
